metric,regime,exclusive_pct,mean,median,min,max,count
format_accuracy_A_post,DFC free-exclusive,0.03,-6.5,-6.5,-17.0,7.0,6
format_accuracy_A_post,DFC free-exclusive,0.05,0.3333333333333333,-1.5,-8.0,14.0,6
format_accuracy_A_post,DFC free-exclusive,0.1,1.0,-2.5,-18.0,34.0,6
format_accuracy_A_post,DFC penalized-exclusive,0.03,-7.5,-7.5,-14.0,1.0,6
format_accuracy_A_post,DFC penalized-exclusive,0.05,-9.0,-9.5,-23.0,4.0,6
format_accuracy_A_post,DFC penalized-exclusive,0.1,-3.6,-2.0,-14.0,4.0,5
format_accuracy_B_post,DFC free-exclusive,0.03,0.0,0.0,0.0,0.0,6
format_accuracy_B_post,DFC free-exclusive,0.05,0.0,0.0,0.0,0.0,6
format_accuracy_B_post,DFC free-exclusive,0.1,0.0,0.0,0.0,0.0,6
format_accuracy_B_post,DFC penalized-exclusive,0.03,0.0,0.0,0.0,0.0,6
format_accuracy_B_post,DFC penalized-exclusive,0.05,0.0,0.0,0.0,0.0,6
format_accuracy_B_post,DFC penalized-exclusive,0.1,0.0,0.0,0.0,0.0,5
overall_score_A_post,DFC free-exclusive,0.03,-0.19833333333333333,-0.21500000000000002,-0.51,0.21000000000000008,6
overall_score_A_post,DFC free-exclusive,0.05,0.003333333333333336,-0.04500000000000001,-0.26,0.42000000000000004,6
overall_score_A_post,DFC free-exclusive,0.1,0.016666666666666663,-0.09499999999999997,-0.56,1.02,6
overall_score_A_post,DFC penalized-exclusive,0.03,-0.235,-0.225,-0.44,0.030000000000000027,6
overall_score_A_post,DFC penalized-exclusive,0.05,-0.27,-0.29500000000000004,-0.69,0.12,6
overall_score_A_post,DFC penalized-exclusive,0.1,-0.10400000000000001,-0.06000000000000005,-0.4,0.09999999999999998,5
overall_score_B_post,DFC free-exclusive,0.03,0.003333333333333355,0.010000000000000064,-0.12,0.12,6
overall_score_B_post,DFC free-exclusive,0.05,-0.043333333333333314,-0.009999999999999953,-0.19999999999999996,0.07999999999999996,6
overall_score_B_post,DFC free-exclusive,0.1,0.003333333333333336,-0.03999999999999998,-0.21999999999999997,0.31999999999999995,6
overall_score_B_post,DFC penalized-exclusive,0.03,-0.016666666666666663,0.03999999999999998,-0.21999999999999997,0.08000000000000007,6
overall_score_B_post,DFC penalized-exclusive,0.05,-0.033333333333333305,-0.019999999999999962,-0.17999999999999994,0.19999999999999996,6
overall_score_B_post,DFC penalized-exclusive,0.1,0.028000000000000025,0.020000000000000018,-0.09999999999999998,0.16000000000000003,5
tool_correctness_A_post,DFC free-exclusive,0.03,-6.666666666666667,-7.5,-17.0,7.0,6
tool_correctness_A_post,DFC free-exclusive,0.05,0.0,-1.5,-9.0,14.0,6
tool_correctness_A_post,DFC free-exclusive,0.1,0.3333333333333333,-3.5,-19.0,34.0,6
tool_correctness_A_post,DFC penalized-exclusive,0.03,-8.0,-7.5,-15.0,1.0,6
tool_correctness_A_post,DFC penalized-exclusive,0.05,-9.0,-10.0,-23.0,4.0,6
tool_correctness_A_post,DFC penalized-exclusive,0.1,-3.4,-2.0,-13.0,3.0,5
tool_correctness_B_post,DFC free-exclusive,0.03,0.16666666666666666,0.5,-6.0,6.0,6
tool_correctness_B_post,DFC free-exclusive,0.05,-2.1666666666666665,-0.5,-10.0,4.0,6
tool_correctness_B_post,DFC free-exclusive,0.1,0.16666666666666666,-2.0,-11.0,16.0,6
tool_correctness_B_post,DFC penalized-exclusive,0.03,-0.8333333333333334,2.0,-11.0,4.0,6
tool_correctness_B_post,DFC penalized-exclusive,0.05,-1.6666666666666667,-1.0,-9.0,10.0,6
tool_correctness_B_post,DFC penalized-exclusive,0.1,1.4,1.0,-5.0,8.0,5
