topk,metric_family,model_side,mean,median,min,max,count
45,format_accuracy,A,49.4375,49.0,33.0,70.0,16
45,format_accuracy,B,0.0,0.0,0.0,0.0,16
45,overall_score,A,0.495625,0.48,-0.01,1.1,16
45,overall_score,B,-0.8475,-0.88,-0.98,-0.6,16
45,tool_correctness,A,50.0625,49.5,33.0,70.0,16
45,tool_correctness,B,7.625,6.0,1.0,20.0,16
90,format_accuracy,A,48.2,49.0,35.0,64.0,15
90,format_accuracy,B,0.0,0.0,0.0,0.0,15
90,overall_score,A,0.45133333333333336,0.49,0.05,0.92,15
90,overall_score,B,-0.856,-0.86,-1.0,-0.62,15
90,tool_correctness,A,48.46666666666667,50.0,35.0,64.0,15
90,tool_correctness,B,7.2,7.0,0.0,19.0,15
160,format_accuracy,A,51.6875,50.5,26.0,83.0,16
160,format_accuracy,B,0.0,0.0,0.0,0.0,16
160,overall_score,A,0.554375,0.515,-0.22,1.49,16
160,overall_score,B,-0.89625,-0.92,-1.0,-0.7,16
160,tool_correctness,A,51.875,50.5,26.0,83.0,16
160,tool_correctness,B,5.1875,4.0,0.0,15.0,16
