topk,exclusive_pct,exclusive_sparsity_coef,overall_score_B_steer_delta_mean,tool_correctness_B_steer_delta_mean,n_rows
45,0.03,0,0.12,6.0,6
45,0.03,0.001,0.06999999999999999,3.5,6
45,0.05,0,0.08,4.0,6
45,0.05,0.001,0.06,3.0,6
45,0.1,0,0.06999999999999999,3.5,6
45,0.1,0.001,0.27,13.5,6
90,0.03,0,0.18,9.0,6
90,0.03,0.001,0.13,6.5,6
90,0.05,0,0.1,5.0,6
90,0.05,0.001,0.16,8.0,6
90,0.1,0,0.28,14.0,6
90,0.1,0.001,0.04,2.0,3
160,0.03,0,0.09,4.5,6
160,0.03,0.001,0.13,6.5,6
160,0.05,0,0.07,3.5,6
160,0.05,0.001,0.06,3.0,6
160,0.1,0,0.04,2.0,6
160,0.1,0.001,0.13,6.5,6
